Material,Description,Available,UOM,Area,Section,Bin,Location Text,Tracking Cd,Text,MANUFACTURER
13726218,"VLV,BALL,4"",CL150,RF,A216WCB,NACE",1,EA,A,,R02K08,,BF01S00A03,"VALVE, BALL, FLANGED END, CLASS 150, 316 STAINLESS STEEL BALL, CARBON STEEL, ASTM A216, GR WCB, 4 IN, PTFE SEAT, RAISED FACE, NACE MR0175 / ISO15156",
13726226,"VLV,GATE,3"",CL150,RF,A216WCB,NACE",1,EA,A,,R02K06,,GF01S01203,"VALVE, GATE, 3 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726230,"VLV,GATE,10"",CL150,RF,A216WCB,NACE",1,EA,A,,R03F02,,GF01S01203,"VALVE, GATE, 10 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726231,"VLV,GATE,12"",CL150,RF,A216WCB,NACE",1,EA,A,,R03G01,,GF01S01203,"VALVE, GATE, 12 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726232,"VLV,GATE,14"",CL150,RF,A216WCB,NACE,GO",1,EA,A,,R03F01,,GF01S01203,"VALVE, GATE, 14 IN, CARBON STEEL, CLASS 150, FLANGED END, GEAR OPERATOR, RAISED FACE, ASTM A216, GR WCB, NACE",
13726248,"VLV,GATE,1"",CL800,SW,A105N,NACE, TRIM 12",28,EA,A,,R02L04,,GS08S01203,"VALVE, GATE, 1 IN, CARBON STEEL, CLASS 800, SOCKET WELD, ASTM A105N, NACE",
13726257,"VLV,GLOBE,6"",CL150,RF,A216WCB,NACE",1,EA,A,,R02J09,,TF01S01203,"VALVE, GLOBE, 6 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726260,"VLV,GLOBE,1"",CL800,SW,A105N,NACE",3,EA,A,,R02L06,,TS08S01203,"VALVE, GLOBE, 1 IN, CARBON STEEL, CLASS 800, SOCKET WELD, ASTM A105N, NACE",
13726261,"VLV,GLOBE,1.5"",CL800,SW,A105N,NACE",2,EA,A,,R02L06,,TS08S01203,"VALVE, GLOBE, 1 1/2 IN, CARBON STEEL, CLASS 800, SOCKET WELD, ASTM A105N, NACE",
13726266,"VLV,CHK,2"",CL150,RF,TR.12,A216-WCB,NACE",1,EA,A,,R02L09,,CF01S01203,"VALVE, SWING CHECK, 2 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, API TRIM 12, ASTM A216, GR WCB, NACE",
13727638,"VLV,GATE,12"",A216WCB,BW,PN150,T5",1,EA,A,,EAST SIDE,,GB11R20501,"VALVE, GATE, 12 IN, PN150, ASME CLASS 900, BUTT WELD, SCH 120, API 5 TRIM, ASTM A216 GR WCB, W/ BY-PASS EQUALIZATION ASSY",
13727642,"VLV,GATE,20"",A216WCB,BW,PN150,T5",1,EA,A,,EAST SIDE,,GB11R20501,"VALVE, GATE, 20 IN, PN150, ASME CLASS 900, BUTT WELD, SCH 120, API 5 TRIM, ASTM A216 GR WCB, W/ BY-PASS EQUALIZATION ASSY",
13727672,"VLV,GATE,2"",A216WCB,BW,PN250,T5",1,EA,A,,R02K03,,GB16R00501,"VALVE, GATE, 2 IN, PN250, ASME CLASS 1500, BUTT WELD, XS, API 5 TRIM, ASTM A216 GR WCB",
13829230,"VLV,GLOBE,8"",150#,SA216 WCB,BONNEY FORGE",1,EA,A,,R02H04,,PIPING,"VALVE, GLOBE, OS&Y, BONNEY FORGE CORP, 8 IN, SA216 WCB, CL150, OS&Y, RF, 13CR STEM, TRIM 8, 13CR DISC, HF SEAT",BONNEY FORGE CORP
